Facteur 1,Facteur 2,Facteur 3,Facteur 4,Résultat
0,1,-0.5,0.5,
0.5,0.5,0.5,-0.5,
-0.5,-1,0,0,
0,0.5,-1,0,
-1,-0.5,0,-0.5,
0.5,-0.5,1,0.5,
