Facteur 1,Facteur 2,Facteur 3,Facteur 4,Résultat
0,1,-0.5,0.5,78
0.5,0.5,0.5,-0.5,68
-0.5,-1,0,0,73
0,0.5,-1,0,68
-1,-0.5,0,-0.5,72
0.5,-0.5,1,0.5,65
